Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,33,8,Some Random Commen with Id 0
1,0,2,194,8,Some Random Commen with Id 1
2,0,2,144,7,Some Random Commen with Id 2
3,1,8,105,0,Some Random Commen with Id 3
4,1,8,68,6,Some Random Commen with Id 4
5,1,8,85,8,Some Random Commen with Id 5
6,2,1,36,1,Some Random Commen with Id 6
7,2,1,114,1,Some Random Commen with Id 7
8,2,1,141,3,Some Random Commen with Id 8
9,2,1,82,8,Some Random Commen with Id 9
10,2,1,101,3,Some Random Commen with Id 10
11,2,1,110,0,Some Random Commen with Id 11
12,2,1,113,7,Some Random Commen with Id 12
13,2,1,129,5,Some Random Commen with Id 13
14,2,1,34,3,Some Random Commen with Id 14
15,3,4,29,3,Some Random Commen with Id 15
16,3,4,86,1,Some Random Commen with Id 16
17,3,4,171,5,Some Random Commen with Id 17
18,4,3,108,2,Some Random Commen with Id 18
19,5,8,139,6,Some Random Commen with Id 19
20,5,8,67,3,Some Random Commen with Id 20
21,5,8,85,1,Some Random Commen with Id 21
22,6,4,44,5,Some Random Commen with Id 22
23,6,4,76,6,Some Random Commen with Id 23
24,6,4,147,9,Some Random Commen with Id 24
25,6,4,14,6,Some Random Commen with Id 25
26,6,4,109,7,Some Random Commen with Id 26
27,6,4,192,1,Some Random Commen with Id 27
28,6,4,78,9,Some Random Commen with Id 28
29,6,4,75,9,Some Random Commen with Id 29
30,7,7,117,9,Some Random Commen with Id 30
31,7,7,140,6,Some Random Commen with Id 31
32,7,7,16,3,Some Random Commen with Id 32
33,8,4,104,1,Some Random Commen with Id 33
34,8,4,108,5,Some Random Commen with Id 34
35,8,4,9,8,Some Random Commen with Id 35
36,9,8,43,7,Some Random Commen with Id 36
37,9,8,7,2,Some Random Commen with Id 37
38,9,8,59,4,Some Random Commen with Id 38
39,9,8,110,5,Some Random Commen with Id 39
40,10,7,144,9,Some Random Commen with Id 40
41,10,7,173,7,Some Random Commen with Id 41
42,10,7,153,6,Some Random Commen with Id 42
43,10,7,192,2,Some Random Commen with Id 43
44,10,7,146,3,Some Random Commen with Id 44
45,10,7,169,7,Some Random Commen with Id 45
46,10,7,26,3,Some Random Commen with Id 46
47,10,7,54,0,Some Random Commen with Id 47
48,10,7,182,3,Some Random Commen with Id 48
49,11,3,58,8,Some Random Commen with Id 49
50,11,3,168,7,Some Random Commen with Id 50
51,11,3,108,2,Some Random Commen with Id 51
52,11,3,60,1,Some Random Commen with Id 52
53,11,3,57,9,Some Random Commen with Id 53
54,11,3,152,7,Some Random Commen with Id 54
55,11,3,78,7,Some Random Commen with Id 55
56,12,0,189,9,Some Random Commen with Id 56
57,12,0,147,2,Some Random Commen with Id 57
58,12,0,50,4,Some Random Commen with Id 58
